state,structure,status,requested_seed,final_seed,seed_retried,partition_mode,audit_result,audit_population_pass,manifest_population_balance_valid,native_manifest_consistent,units,districts,edge_cut,edge_cut_ratio_to_standard,canonical_assignment_sha256
RI,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,250,2,65349.2565,1.0,e5ebf6ff6fddf1ef063771acc329529a78eab910a35d5065fb3feb0fab29f629
RI,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,250,2,65349.2565,1.0,e5ebf6ff6fddf1ef063771acc329529a78eab910a35d5065fb3feb0fab29f629
RI,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,250,2,65349.2565,1.0,e5ebf6ff6fddf1ef063771acc329529a78eab910a35d5065fb3feb0fab29f629
RI,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,250,2,63417.38956,0.970437813015,7a8fd400731ce0777893274cadc016e5e0a75243e53e22ee29b96bd7f40d4620
NE,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,553,3,394406.06907,1.0,0c3c3af9a56a088bb21e76532f1fc2db1f24a4720e31a67f61c138fdb87b2410
NE,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,553,3,394406.06907,1.0,0c3c3af9a56a088bb21e76532f1fc2db1f24a4720e31a67f61c138fdb87b2410
NE,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,553,3,2146289.1969,5.441825989039,414e356f3c6472201a9b5b08b38c122b79a4510967609e985224037e31835377
NE,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,553,3,514677.47953,1.304943102786,d829e3b29185a88bb829ece618ab9913573ca6b10139f37155ee2b32fe9b27fa
CT,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,883,5,448147.61213,1.0,9522c0f54b49561a412babfcff1183d6b7eb71e443e96c7571e027b735b98a7e
CT,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,883,5,443469.9391,0.989562204721,7e150064a35ecb04cf4250c1fc61d52bb4aae3c4fa9aeb0efea359f31e9390ca
CT,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,883,5,399275.60533,0.89094663125,95c601d2115da4b26886692511b8164a5b2a3e9449f9d8e389963ad98d6a1626
CT,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,883,5,480035.51802,1.071154916431,fe265a1c3a28418b5d2d9432e7ee2cd431cc95dea981f1f311de0846b9cdf299
KY,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1306,6,1315445.69707,1.0,1e7a1459a8efc7cfe32d5840ba43fbf530dd83d081c606e522664e2dd0ad5684
KY,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1306,6,1282497.4071,0.974952755524,0d2cc87b1fb1a1c6874c66ab3e30f3484e133e4f0192f0ad2262c0dd05a889b9
KY,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1306,6,1326186.34713,1.008165027324,ccf0f05c27949d86b7ca40dd7c9c0368795fe0220732eb0769ff73dd72f357a7
KY,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1306,6,1436498.79096,1.092024394591,7b10881f47e96271bbea77c4a4eef93f416a2651318d2537b59e9c1fa455c88a
SC,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1323,7,1501074.77876,1.0,9fb92ea4949de5731538ffa5ef0ae8b8bba961ed352d2534ccff001dd898ae68
SC,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1323,7,1501074.77876,1.0,9fb92ea4949de5731538ffa5ef0ae8b8bba961ed352d2534ccff001dd898ae68
SC,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1323,7,1622456.88356,1.080863462978,83d27cc740831b1f90862ef57c5b56a04f1ce7997829d8ce6d0cfa983f1cb5ed
SC,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1323,7,1429357.53141,0.952222735093,d6350ba970aee7a420ac219a326ccd17d0c0196524a393286b68fcc3e84ca7f1
WI,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1542,8,1873948.07432,1.0,ed4eebeb8145c217f7c29c0cdf035df659678074c667f68937b6ddac5a30617b
WI,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1542,8,1917620.53819,1.023305055497,82b0217c47639abed0769110859955f43069c30591e217937ff2acf7ddffbf75
WI,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1542,8,2149212.69752,1.146890208417,d9f07ad1f7f7b14df29111252fb1f214efafc5dfb99eecc8390df49a90ca3001
WI,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1542,8,2002747.78706,1.068731740492,f90c1681a0c2d5853df5457a3ed2bf2ec80fece833eac169e126bdfec4024206
AZ,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1765,9,2339005.31239,1.0,7c915990da361457118b74b0cd623d227b9e64e6f3cb7939dd187310477985c7
